Textbox201,Textbox215,Textbox219,Textbox223,Textbox199,Textbox217,Textbox203,Textbox209,Textbox221,,,,,,,,,,,,,,
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647519,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Feb-22,5-Apr-22,14-Feb-22,14-Feb-22,-50,-1563
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647524,Cláusula Especial 13 (ii),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,MTR- Mid-Term Evaluation Report,20-Jun-22,14-Jul-22,24-Apr-22,20-Jun-22,-24,-1437
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647529,Cláusula Especial 13 (iii),30969,ATN/FM-17231-CR,CID/CCR,TRACK,Sectorial,TER- Final Evaluation Report,,,24-Aug-23,24-Aug-23,,-1007
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647478,Cláusula Especial 3 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Convenio Interinstitucional entre SINAC y FUNBAM suscrito,16-Jul-19,16-Jul-19,24-Aug-19,24-Aug-19,39,-2468
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647483,Cláusula especial 3 (b),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Personal clave seleccionado (Coordinador, Financiero y Adquisiciones)",21-Aug-19,21-Aug-19,24-Aug-19,24-Aug-19,3,-2468
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647484,Cláusula Especial 3 (c),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Manual de Operaciones aprobado por el Banco y en vigencia,20-Aug-19,21-Aug-19,24-Aug-19,24-Aug-19,3,-2468
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647485,Cláusula Especial 3 (d),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial Prior Condition,Sistema de Información Financiera y Estructura de Control Interno adecuados y validados por el Banco,20-Aug-19,21-Aug-19,24-Aug-19,24-Aug-19,3,-2468
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647503,Cláusula Especial 4 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,Recaudación de fondos para financiamiento del Mecanismo Compensación de servicios ecosistémicos (MCSE) provenientes de ARESEP iniciada.,13-Feb-26,13-Feb-26,24-Feb-21,24-May-23,-996,-1099
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647501,Cláusula Especial 4 (b),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,MCSE diseñado y aceptable al Banco y al Fondo para el Medio Ambiente Mundial,13-Feb-26,13-Feb-26,24-Feb-21,24-Feb-23,-1085,-1188
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647504,Cláusula Especial 4 (c),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,MCSE Operacionalizado contándose con todos los acuerdos legales y de coordinación necesarios para viabilizar ejecución,13-Feb-26,13-Feb-26,24-Feb-21,24-Feb-23,-1085,-1188
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647505,Cláusula Especial 4 (d),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,Metodología de Evaluación de Impacto de la implementación de la MCSE aceptada por el Banco y el Fondo del Medio Ambiente Mundial y llevado a cabo los estudios de línea base requeridos por metodología,13-Feb-26,13-Feb-26,24-Feb-21,24-Feb-23,-1085,-1188
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647537,Cláusula General Art. 2 (a) (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial Prior Condition,Firmas autorizadas,8-Jul-19,21-Aug-19,24-Aug-19,24-Aug-19,3,-2468
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647538,Cláusula General Art. 2 (a) (ii),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Cronograma de Ejecución del Aporte,20-Aug-19,21-Aug-19,24-Aug-19,24-Aug-19,3,-2468
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",652414,Cláusula Normas generales Art. 13 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Informes de Auditoria Financiera Externa,27-Apr-21,27-Apr-21,30-Apr-21,30-Apr-21,3,-1853
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647536,Cláusula Normas Generales Art.13 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Auditoría Financiera Externa Final,24-Apr-24,25-Apr-24,24-Jun-24,24-Jun-26,790,28
CSD,CSD/CCS,CR-T1300,Update of the NDC for strengthening the mitigation and adaptation agenda to climate change,TCP,,,DI,"VOGT-SCHILB, ADRIEN",700548,Eligibility Condition,36795,ATN/OC-21785-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,11-Aug-25,11-Aug-25,29-Oct-25,29-Oct-25,79,-210
DSP,DSP/ADV,CR-T1322,Scaling impact in the energy sector of Costa Rica with ICE,TCP,,IIC,DI,"GONZALEZ MARTINEZ, JULIAN EDUARDO",703809,Eligibility Condition,37398,ATN/SX-22264-CR,DSP/ADV,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,5-Jan-26,2-Feb-26,22-Jun-26,22-Jun-26,140,26
DSP,DSP/ADV,CR-T1322,Scaling impact in the energy sector of Costa Rica with ICE,TCP,,IIC,DI,"GONZALEZ MARTINEZ, JULIAN EDUARDO",703808,Final Disbursement,37398,ATN/SX-22264-CR,DSP/ADV,TRACK,Financial,Final Disbursement Clause.,,,22-Dec-28,22-Dec-28,,940
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687161,2.05,34940,5777/GR-CR,CID/CCR,TRACK,Financial,Last Disbursement / Plazo último desembolso,,,5-Apr-27,5-Apr-27,,313
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",700373,4.06 (b)(ii),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,"Previo al inicio de obras para el CCP de Upala, el Beneficiario deberá presentar la versión actualizada y aprobada del PGAS, en los términos acordados con el Banco.",12-Nov-25,3-Mar-26,31-Aug-25,31-Aug-25,-184,-269
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701559,4.07,34940,5777/GR-CR,CID/CCR,TRACK,Sectorial,Plan de mantenimiento e informe anual de mantenimiento,,,31-Mar-27,31-Mar-27,,308
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701558,4.07,34940,5777/GR-CR,CID/CCR,TRACK,Sectorial,Plan de mantenimiento e informe anual de mantenimiento,,,31-Mar-26,31-Mar-26,,-57
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687164,"5,02",34940,5777/GR-CR,CID/CCR,TRACK,Financial,Estados Financieros Auditados anuales,,,30-Apr-26,30-Apr-26,,-27
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701540,5.01,34940,5777/GR-CR,CID/CCR,TRACK,Sectorial Prior Condition,Informe Semestral de Progreso,,,1-Sep-26,1-Sep-26,,97
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701539,5.01,34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Informe Semestral de Progreso,11-Mar-26,12-Mar-26,1-Mar-26,1-Mar-26,-11,-87
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701538,5.01,34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Informe Semestral de Progreso,29-Aug-25,12-Sep-25,10-Sep-25,10-Sep-25,-2,-259
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701541,5.01,34940,5777/GR-CR,CID/CCR,TRACK,Sectorial Prior Condition,Informe Semestral de Progreso,,,1-Mar-27,1-Mar-27,,278
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701560,5.02 (a),34940,5777/GR-CR,CID/CCR,TRACK,Financial,Informes financieros finales,,,5-Jul-27,5-Jul-27,,404
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701557,5.03 (a),34940,5777/GR-CR,CID/CCR,TRACK,Sectorial,Informe de evaluación Intermedia,,,5-Oct-25,31-Oct-26,,157
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701561,5.03 (b),34940,5777/GR-CR,CID/CCR,TRACK,Sectorial,Informe de Evaluación Final,,,5-Mar-27,5-Mar-27,,282
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687595,Artículo 3.01 (a),34940,5777/GR-CR,CID/CCR,FULFILLED,Financial Prior Condition,"Que el Banco haya recibido uno o más informes jurídicos fundados que establezcan, con señalamiento de las disposiciones constitucionales, legales y reglamentarias pertinentes, que las obligaciones contraídas por el Beneficiario en este Convenio son válidas",22-Apr-24,23-Apr-24,5-Apr-24,5-Jun-24,43,-721
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687596,Artículo 3.01 (b),34940,5777/GR-CR,CID/CCR,FULFILLED,Financial Prior Condition,"Que el Beneficiario o, en su caso, el Organismo Ejecutor, haya designado uno o más funcionarios que puedan representarlo para efectos de solicitar los desembolsos de la Contribución y en otros actos relacionados con la gestión financiera del Proyecto y hay",29-Feb-24,1-Mar-24,5-Apr-24,5-Apr-24,35,-782
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687597,Artículo 3.01 (c),34940,5777/GR-CR,CID/CCR,FULFILLED,Financial Prior Condition,"Que el Beneficiario o, en su caso, el Organismo Ejecutor, haya proporcionado al Banco por escrito, a través de su representante autorizado para solicitar los desembolsos de la Contribución, información sobre la cuenta bancaria en la cual se depositarán los",29-Feb-24,1-Mar-24,5-Apr-24,5-Apr-24,35,-782
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687598,Artículo 3.01 (d),34940,5777/GR-CR,CID/CCR,FULFILLED,Financial Prior Condition,"Que el Beneficiario o, en su caso, el Organismo Ejecutor haya demostrado al Banco que cuenta con un sistema de información financiera y una estructura de control interno adecuados para los propósitos indicados en este Convenio.",29-Feb-24,1-Mar-24,5-Apr-24,5-Apr-24,35,-782
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687591,Clausula 3.02 (a),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Que se haya seleccionado, previa no objeción del Banco, al gerente técnico del proyecto",1-Mar-24,1-Mar-24,5-Apr-24,5-Apr-24,35,-782
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687590,Cláusula 3.02 (b),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Que se haya aprobado una actualización al Manual Operativo del Programa (MOP) financiado por el Préstamo, incorporando una sección con las actividades del presente financiamiento no reembolsable para inversión, de acuerdo con los términos previamente acord",29-Feb-24,1-Mar-24,5-Apr-24,5-Apr-24,35,-782
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",700375,Cláusula 4.06 (b)(ii),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,"Previo al inicio de obras para la Unidad de Refugio, el Beneficiario deberá presentar la versión actualizada y aprobada del PGAS, en los términos acordados con el Banco.",12-Nov-25,3-Mar-26,30-Sep-25,30-Sep-25,-154,-239
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",700374,Cláusula 4.06 (b)(ii),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,"Previo al inicio de obras para el CATEM Sur, el Beneficiario deberá presentar la versión actualizada y aprobada del PGAS, en los términos acordados con el Banco.",12-Nov-25,3-Mar-26,30-Sep-25,30-Sep-25,-154,-239
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687592,Cláusula 4.08 (a)(i),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,La aprobación de una resolución de la DGME con la cual se establece el mecanismo de regulación migratoria,28-Apr-25,28-Apr-25,5-Apr-24,31-May-25,33,-361
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687593,Cláusula 4.08 (a)(ii),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,La suscripción de un acuerdo interinstitucional para la ejecución de dicho Componente.,1-Jul-25,3-Jul-25,5-Apr-24,31-May-25,-33,-361
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701679,5.02 (i),31523,4871/OC-CR,CID/CCR,TRACK,Financial,Informes financieros semestrales no auditados del Programa,,,30-Mar-27,30-Mar-27,,307
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701676,5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes financieros semestrales no auditados del Programa,18-Sep-25,23-Sep-25,30-Sep-25,30-Sep-25,7,-239
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701677,5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes financieros semestrales no auditados del Programa,17-Mar-26,26-Apr-26,30-Mar-26,30-Mar-26,-27,-58
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701678,5.02 (i),31523,4871/OC-CR,CID/CCR,TRACK,Financial,Informes financieros semestrales no auditados del Programa,,,30-Sep-26,30-Sep-26,,126
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",670359,5.02 (iii),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Anuales Auditados del Programa,28-Apr-23,12-May-23,30-Apr-23,30-Apr-23,-12,-1123
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",670362,5.02 (iii),31523,4871/OC-CR,CID/CCR,TRACK,Financial,Estados Financieros Anuales Auditados del Programa,,,30-Apr-26,30-Apr-26,,-27
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",670360,5.02 (iii),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Anuales Auditados del Programa,29-Apr-24,2-May-24,30-Apr-24,30-Apr-24,-2,-757
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",670361,5.02 (iii),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Anuales Auditados del Programa,30-Apr-25,14-May-25,30-Apr-25,30-Apr-25,-14,-392
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701675,5.03,31523,4871/OC-CR,CID/CCR,TRACK,Sectorial,Datos Comparativos anuales de las matrices de resultados,,,17-Sep-26,17-Sep-26,,113
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",676013,5.03 (c),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Evaluación de Medio Término,30-May-25,19-Aug-25,17-Mar-24,30-May-25,-81,-362
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664372,Artículo 4.01 (a),31523,4871/OC-CR,CID/CCR,FULFILLED,Legal Report,Informe Jurídico por el Prestatario confirmando que las obligaciones contraídas en el Contrato de Préstamo son válidas y exigibles.,12-Apr-21,13-Apr-21,17-Sep-21,17-Sep-21,157,-1713
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664373,Artículo 4.01 (b),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Firmas de Representantes Autorizados por parte del Prestatario,15-Apr-21,15-Apr-21,17-Sep-21,17-Sep-21,155,-1713
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664374,Artículo 4.01 (c),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial Prior Condition,Cuenta Bancaria en la cual se depositarán los recursos del Préstamo,11-May-21,11-May-21,17-Sep-21,17-Sep-21,129,-1713
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",664375,Artículo 4.01 (d),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial Prior Condition,Sistema de información financiera y estructura de control interno del Organismo Ejecutor adecuados para los propósitos en este Contrato,12-Apr-21,14-Apr-21,17-Sep-21,17-Sep-21,156,-1713
