Textbox201,Textbox215,Textbox219,Textbox223,Textbox199,Textbox217,Textbox203,Textbox209,Textbox221
#Error,#Error,#Error,#Error,#Error,#Error,#Error,#Error,#Error

Department1,Responsible_Unit1,Operation_Number1,Operation__English_1,Operation_Type1,Modality1,Lending_Instrument1,Operation_Stage1,Team_Leader1,Clause_ID,Clause_Number,Contract_ID,SL_VW_CONTRACT_Operation_Number,UDR,Clause_Status__English_,Clause_Type__English_,B_Clause_Description,Clause_Submission_Date,Clause_Approved_Date,Clause_Original_Expiration_Date,Clause_Current_Expiration_Date,Days_Between_Approval_Date_and_Expiration_Date,Days_to_Expiration
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647523,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,TRACK,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,,,14-Feb-2024,14-Feb-2024,,-859
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647519,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Feb-2022,05-Apr-2022,14-Feb-2022,14-Feb-2022,-50,-1589
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647520,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Aug-2022,29-Aug-2022,14-Aug-2022,14-Aug-2022,-15,-1408
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647521,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Feb-2023,09-Jun-2023,14-Feb-2023,14-Feb-2023,-115,-1224
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647518,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Aug-2021,21-Oct-2021,14-Aug-2021,14-Aug-2021,-68,-1773
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647516,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Aug-2020,03-Nov-2020,14-Aug-2020,14-Aug-2020,-81,-2138
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647514,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,26-Mar-2020,15-Apr-2020,14-Aug-2019,14-Aug-2019,-245,-2504
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647515,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,10-Mar-2020,15-Apr-2020,14-Feb-2020,14-Feb-2020,-61,-2320
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647524,Cláusula Especial 13 (ii),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,MTR- Mid-Term Evaluation Report,20-Jun-2022,14-Jul-2022,24-Apr-2022,20-Jun-2022,-24,-1463
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647529,Cláusula Especial 13 (iii),30969,ATN/FM-17231-CR,CID/CCR,TRACK,Sectorial,TER- Final Evaluation Report,,,24-Aug-2023,24-Aug-2023,,-1033
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647478,Cláusula Especial 3 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Convenio Interinstitucional entre SINAC y FUNBAM suscrito,16-Jul-2019,16-Jul-2019,24-Aug-2019,24-Aug-2019,39,-2494
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647483,Cláusula especial 3 (b),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Personal clave seleccionado (Coordinador, Financiero y Adquisiciones)",21-Aug-2019,21-Aug-2019,24-Aug-2019,24-Aug-2019,3,-2494
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647484,Cláusula Especial 3 (c),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Manual de Operaciones aprobado por el Banco y en vigencia,20-Aug-2019,21-Aug-2019,24-Aug-2019,24-Aug-2019,3,-2494
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647485,Cláusula Especial 3 (d),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial Prior Condition,Sistema de Información Financiera y Estructura de Control Interno adecuados y validados por el Banco,20-Aug-2019,21-Aug-2019,24-Aug-2019,24-Aug-2019,3,-2494
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647503,Cláusula Especial 4 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,Recaudación de fondos para financiamiento del Mecanismo Compensación de servicios ecosistémicos (MCSE) provenientes de ARESEP iniciada.,13-Feb-2026,13-Feb-2026,24-Feb-2021,24-May-2023,-996,-1125
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647501,Cláusula Especial 4 (b),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,MCSE diseñado y aceptable al Banco y al Fondo para el Medio Ambiente Mundial,13-Feb-2026,13-Feb-2026,24-Feb-2021,24-Feb-2023,-1085,-1214
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647504,Cláusula Especial 4 (c),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,MCSE Operacionalizado contándose con todos los acuerdos legales y de coordinación necesarios para viabilizar ejecución,13-Feb-2026,13-Feb-2026,24-Feb-2021,24-Feb-2023,-1085,-1214
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647505,Cláusula Especial 4 (d),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial,Metodología de Evaluación de Impacto de la implementación de la MCSE aceptada por el Banco y el Fondo del Medio Ambiente Mundial y llevado a cabo los estudios de línea base requeridos por metodología,13-Feb-2026,13-Feb-2026,24-Feb-2021,24-Feb-2023,-1085,-1214
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647537,Cláusula General Art. 2 (a) (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial Prior Condition,Firmas Autorizadas,08-Jul-2019,21-Aug-2019,24-Aug-2019,24-Aug-2019,3,-2494
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647538,Cláusula General Art. 2 (a) (ii),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Cronograma de Ejecución del Aporte,20-Aug-2019,21-Aug-2019,24-Aug-2019,24-Aug-2019,3,-2494
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",652414,Cláusula Normas generales Art. 13 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Informes de Auditoria Financiera Externa,27-Apr-2021,27-Apr-2021,30-Apr-2021,30-Apr-2021,3,-1879
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647536,Cláusula Normas Generales Art.13 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Auditoría Financiera Externa Final,24-Apr-2024,25-Apr-2024,24-Jun-2024,24-Jun-2026,790,2
CSD,CSD/CCS,CR-T1300,Update of the NDC for strengthening the mitigation and adaptation agenda to climate change,TCP,,,DI,"VOGT-SCHILB, ADRIEN",700548,Eligibility Condition,36795,ATN/OC-21785-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,11-Aug-2025,11-Aug-2025,29-Oct-2025,29-Oct-2025,79,-236
DSP,DSP/ADV,CR-T1322,Scaling impact in the energy sector of Costa Rica with ICE,TCP,,IIC,DI,"GONZALEZ MARTINEZ, JULIAN EDUARDO",703809,Eligibility Condition,37398,ATN/SX-22264-CR,DSP/ADV,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,05-Jan-2026,02-Feb-2026,22-Jun-2026,22-Jun-2026,140,0
DSP,DSP/ADV,CR-T1322,Scaling impact in the energy sector of Costa Rica with ICE,TCP,,IIC,DI,"GONZALEZ MARTINEZ, JULIAN EDUARDO",703808,Final Disbursement,37398,ATN/SX-22264-CR,DSP/ADV,TRACK,Financial,Final Disbursement Clause.,,,22-Dec-2028,22-Dec-2028,,914
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687161,2.05,34940,5777/GR-CR,CID/CCR,TRACK,Financial,Last Disbursement / Plazo último desembolso,,,05-Apr-2027,05-Apr-2027,,287
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",700373,4.06 (b)(ii),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,"Previo al inicio de obras para el CCP de Upala, el Beneficiario deberá presentar la versión actualizada y aprobada del PGAS, en los términos acordados con el Banco.",12-Nov-2025,03-Mar-2026,31-Aug-2025,31-Aug-2025,-184,-295
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701558,4.07,34940,5777/GR-CR,CID/CCR,TRACK,Sectorial,Plan de mantenimiento e informe anual de mantenimiento,,,31-Mar-2026,31-Mar-2026,,-83
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701559,4.07,34940,5777/GR-CR,CID/CCR,TRACK,Sectorial,Plan de mantenimiento e informe anual de mantenimiento,,,31-Mar-2027,31-Mar-2027,,282
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687164,"5,02",34940,5777/GR-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados anuales,30-Apr-2026,29-May-2026,30-Apr-2026,30-Apr-2026,-29,-53
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701539,5.01,34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Informe Semestral de Progreso,11-Mar-2026,12-Mar-2026,01-Mar-2026,01-Mar-2026,-11,-113
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701541,5.01,34940,5777/GR-CR,CID/CCR,TRACK,Sectorial Prior Condition,Informe Semestral de Progreso,,,01-Mar-2027,01-Mar-2027,,252
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701538,5.01,34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Informe Semestral de Progreso,29-Aug-2025,12-Sep-2025,10-Sep-2025,10-Sep-2025,-2,-285
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701540,5.01,34940,5777/GR-CR,CID/CCR,TRACK,Sectorial Prior Condition,Informe Semestral de Progreso,,,01-Sep-2026,01-Sep-2026,,71
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701560,5.02 (a),34940,5777/GR-CR,CID/CCR,TRACK,Financial,Informes financieros finales,,,05-Jul-2027,05-Jul-2027,,378
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701557,5.03 (a),34940,5777/GR-CR,CID/CCR,TRACK,Sectorial,Informe de Evaluación Intermedia,,,05-Oct-2025,31-Oct-2026,,131
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",701561,5.03 (b),34940,5777/GR-CR,CID/CCR,TRACK,Sectorial,Informe de Evaluación Final,,,05-Mar-2027,05-Mar-2027,,256
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687595,Artículo 3.01 (a),34940,5777/GR-CR,CID/CCR,FULFILLED,Financial Prior Condition,"Que el Banco haya recibido uno o más informes jurídicos fundados que establezcan, con señalamiento de las disposiciones constitucionales, legales y reglamentarias pertinentes, que las obligaciones contraídas por el Beneficiario en este Convenio son válidas",22-Apr-2024,23-Apr-2024,05-Apr-2024,05-Jun-2024,43,-747
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687596,Artículo 3.01 (b),34940,5777/GR-CR,CID/CCR,FULFILLED,Financial Prior Condition,"Que el Beneficiario o, en su caso, el Organismo Ejecutor, haya designado uno o más funcionarios que puedan representarlo para efectos de solicitar los desembolsos de la Contribución y en otros actos relacionados con la gestión financiera del Proyecto y hay",29-Feb-2024,01-Mar-2024,05-Apr-2024,05-Apr-2024,35,-808
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687597,Artículo 3.01 (c),34940,5777/GR-CR,CID/CCR,FULFILLED,Financial Prior Condition,"Que el Beneficiario o, en su caso, el Organismo Ejecutor, haya proporcionado al Banco por escrito, a través de su representante autorizado para solicitar los desembolsos de la Contribución, información sobre la cuenta bancaria en la cual se depositarán los",29-Feb-2024,01-Mar-2024,05-Apr-2024,05-Apr-2024,35,-808
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687598,Artículo 3.01 (d),34940,5777/GR-CR,CID/CCR,FULFILLED,Financial Prior Condition,"Que el Beneficiario o, en su caso, el Organismo Ejecutor haya demostrado al Banco que cuenta con un sistema de información financiera y una estructura de control interno adecuados para los propósitos indicados en este Convenio.",29-Feb-2024,01-Mar-2024,05-Apr-2024,05-Apr-2024,35,-808
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687591,Clausula 3.02 (a),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Que se haya seleccionado, previa no objeción del Banco, al gerente técnico del proyecto",01-Mar-2024,01-Mar-2024,05-Apr-2024,05-Apr-2024,35,-808
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687590,Cláusula 3.02 (b),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Que se haya aprobado una actualización al Manual Operativo del Programa (MOP) financiado por el Préstamo, incorporando una sección con las actividades del presente financiamiento no reembolsable para inversión, de acuerdo con los términos previamente acord",29-Feb-2024,01-Mar-2024,05-Apr-2024,05-Apr-2024,35,-808
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",700375,Cláusula 4.06 (b)(ii),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,"Previo al inicio de obras para la Unidad de Refugio, el Beneficiario deberá presentar la versión actualizada y aprobada del PGAS, en los términos acordados con el Banco.",12-Nov-2025,03-Mar-2026,30-Sep-2025,30-Sep-2025,-154,-265
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",700374,Cláusula 4.06 (b)(ii),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,"Previo al inicio de obras para el CATEM Sur, el Beneficiario deberá presentar la versión actualizada y aprobada del PGAS, en los términos acordados con el Banco.",12-Nov-2025,03-Mar-2026,30-Sep-2025,30-Sep-2025,-154,-265
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687592,Cláusula 4.08 (a)(i),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,La aprobación de una resolución de la DGME con la cual se establece el mecanismo de regulación migratoria,28-Apr-2025,28-Apr-2025,05-Apr-2024,31-May-2025,33,-387
IFD,IFD/CIS,CR-J0002,Comprehensive Citizen Security and Violence Prevention Program for the Inclusion of Vulnerable Migrant Groups,GRF,ESP,INV,DI,"POSADAS, ARNALDO ENRIQUE",687593,Cláusula 4.08 (a)(ii),34940,5777/GR-CR,CID/CCR,FULFILLED,Sectorial,La suscripción de un acuerdo interinstitucional para la ejecución de dicho Componente.,01-Jul-2025,03-Jul-2025,05-Apr-2024,31-May-2025,-33,-387
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",708275,5.01,31523,4871/OC-CR,CID/CCR,TRACK,Sectorial,Informe semestral,,,15-Feb-2027,15-Feb-2027,,238
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",708274,5.01,31523,4871/OC-CR,CID/CCR,TRACK,Sectorial,Informe semestral,,,15-Aug-2026,15-Aug-2026,,54
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701679,5.02 (i),31523,4871/OC-CR,CID/CCR,TRACK,Financial,Informes Financieros semestrales no auditados del Programa,,,30-Mar-2027,30-Mar-2027,,281
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701677,5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes Financieros semestrales no auditados del Programa,17-Mar-2026,26-Apr-2026,30-Mar-2026,30-Mar-2026,-27,-84
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701678,5.02 (i),31523,4871/OC-CR,CID/CCR,TRACK,Financial,Informes Financieros semestrales no auditados del Programa,,,30-Sep-2026,30-Sep-2026,,100
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701676,5.02 (i),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Informes Financieros semestrales no auditados del Programa,18-Sep-2025,23-Sep-2025,30-Sep-2025,30-Sep-2025,7,-265
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",670359,5.02 (iii),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Anuales Auditados del Programa,28-Apr-2023,12-May-2023,30-Apr-2023,30-Apr-2023,-12,-1149
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",670360,5.02 (iii),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Anuales Auditados del Programa,29-Apr-2024,02-May-2024,30-Apr-2024,30-Apr-2024,-2,-783
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",670362,5.02 (iii),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Anuales Auditados del Programa,30-Apr-2026,29-May-2026,30-Apr-2026,30-Apr-2026,-29,-53
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",670361,5.02 (iii),31523,4871/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Anuales Auditados del Programa,30-Apr-2025,14-May-2025,30-Apr-2025,30-Apr-2025,-14,-418
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",701675,5.03,31523,4871/OC-CR,CID/CCR,TRACK,Sectorial,Datos Comparativos anuales de las matrices de resultados,,,17-Sep-2026,17-Sep-2026,,87
IFD,IFD/CIS,CR-L1137,Citizen Security and Violence Prevention Program,LON,GOM,INV,DI,"POSADAS, ARNALDO ENRIQUE",676013,5.03 (c),31523,4871/OC-CR,CID/CCR,FULFILLED,Sectorial,Evaluación de Medio Término,30-May-2025,19-Aug-2025,17-Mar-2024,30-May-2025,-81,-388
